subject,sex,age,bigram_freq,concreteness,Initial,diversity,letters,item,correct,response_time,trans_prob,word_freq
20,1,23,198,3.17,funny,62,5,thing,1,599,0.044097996,35211
10,1,21,535,2.41,bloody,75,4,hell,1,599,0.07397677,5315
8,1,30,234,4.25,bile,17,4,acid,1,600,0.197802198,4968
23,1,42,452,3.52,ozone,14,5,layer,1,601,0.351750973,2543
19,1,46,535,2.41,bloody,75,4,hell,1,601,0.07397677,5315
28,1,30,508,4.9,credit,109,4,card,1,602,0.068881356,5739
24,1,48,8465,4.52,last,473,5,night,1,602,0.117273004,36529
2,1,50,198,3.17,funny,62,5,thing,1,603,0.044097996,35211
28,1,30,4530,1.73,make,376,4,sure,1,603,0.056994753,24595
28,1,30,428,3.38,rugby,39,5,union,1,603,0.124238026,17607
18,1,25,1872,2.69,armed,40,6,forces,1,603,0.390162568,11775
1,1,30,381,3.87,fifty,78,4,five,1,605,0.044395246,40739
24,1,48,255,3.24,toxic,20,5,waste,1,605,0.209016393,6762
17,1,33,381,3.87,fifty,78,4,five,1,606,0.044395246,40739
2,1,50,535,2.41,bloody,75,4,hell,1,607,0.07397677,5315
11,1,20,437,4.97,acid,70,4,rain,1,608,0.087962963,6517
28,1,30,452,3.52,ozone,14,5,layer,1,609,0.351750973,2543
24,1,48,1872,2.69,armed,40,6,forces,1,609,0.390162568,11775
23,1,42,573,3.72,cash,134,4,flow,1,609,0.066721006,5244
18,1,25,512,4.3,daily,74,4,post,1,609,0.067112335,9339
10,1,21,461,2.52,good,850,8,practice,1,609,0.005705799,17114
8,1,30,198,3.17,funny,62,5,thing,1,610,0.044097996,35211
28,1,30,2083,4.89,their,3442,8,children,1,610,0.00798332,46608
10,1,21,381,3.87,fifty,78,4,five,1,610,0.044395246,40739
8,1,30,1872,2.69,armed,40,6,forces,1,611,0.390162568,11775
28,1,30,535,2.41,bloody,75,4,hell,1,611,0.07397677,5315
10,1,21,512,4.3,daily,74,4,post,1,613,0.067112335,9339
2,1,50,311,2.07,recent,203,5,times,1,615,0.019611553,29910
1,1,30,187,4.7,eighth,21,4,army,1,615,0.146322379,11441
21,1,18,255,3.24,toxic,20,5,waste,1,615,0.209016393,6762
17,1,33,243,2.89,rapid,53,6,growth,1,615,0.06740638,12982
14,0,22,437,4.97,acid,70,4,rain,1,615,0.087962963,6517
12,0,24,381,3.87,fifty,78,4,five,1,616,0.044395246,40739
11,1,20,466,3.37,index,52,6,closed,1,618,0.100171969,9877
23,1,42,428,3.38,rugby,39,5,union,1,619,0.124238026,17607
10,1,21,551,4.07,shot,74,4,dead,1,619,0.067219715,12494
24,1,48,535,2.41,bloody,75,4,hell,1,620,0.07397677,5315
22,1,29,311,2.07,recent,203,5,times,1,621,0.019611553,29910
10,1,21,198,3.17,funny,62,5,thing,1,621,0.044097996,35211
24,1,48,599,4.79,inner,65,4,city,1,623,0.133407572,23247
11,1,20,4530,1.73,make,376,4,sure,1,625,0.056994753,24595
8,1,30,461,2.52,good,850,8,practice,1,627,0.005705799,17114
18,1,25,1769,3.27,second,498,4,half,1,627,0.042673807,29782
11,1,20,381,3.87,fifty,78,4,five,1,627,0.044395246,40739
3,1,60,187,4.7,eighth,21,4,army,1,628,0.146322379,11441
9,1,46,187,4.7,eighth,21,4,army,1,628,0.146322379,11441
24,1,48,234,4.25,bile,17,4,acid,1,629,0.197802198,4968
