Spelling  nchar  LogFreq_Zipf  DomPoS  FreqCount  BNC_freq  Spell_check  Double_word_entry
absorption  10  2.65  noun  89  956  UKUS  
abstain  7  2.99  verb  195  129  UKUS  
abstained  9  2.69  verb  98  112  UKUS  
abstainers  10  1.3  noun  3  12  UKUS  
abstaining  10  2.32  verb  41  55  UKUS  
abstains  8  1.54  verb  6  2  UKUS  
abstemious  10  1.6  adjective  7  22  UKUS  
abstention  10  2.16  noun  28  99  UKUS  
abstentions  11  2.13  noun  26  226  UKUS  
abstinence  10  2.77  noun  119  152  UKUS  
abstinent  9  1.77  adjective  11  10  UKUS  
abstract  8  3.64  adjective  886  2220  UKUS  
abstracted  10  1.93  adjective  16  147  UKUS  
abstracting  11  1.84  verb  13  60  UKUS  
abstraction  11  2.83  noun  135  477  UKUS  
abstractions  12  2.02  noun  20  164  UKUS  
abstractly  10  1.39  adverb  4  11  UKUS  
abstracts  9  1.93  noun  16  163  UKUS  
abstruse  8  1.47  adjective  5  40  UKUS  
absurd  6  3.75  adjective  1122  966  UKUS  
absurdist  9  1.77  adjective  11  10  UKUS  
absurdities  11  1.9  noun  15  56  UKUS  
absurdity  9  2.67  noun  93  252  UKUS  
absurdly  8  2.53  adverb  67  187  UKUS  
absurdum  8  1.17  noun  2  20  UKUS  
abundance  9  3.57  noun  753  633  UKUS  
abundances  10  1.47  noun  5  44  UKUS  
abundant  8  3.25  adjective  361  601  UKUS  
abundantly  10  2.58  adverb  76  184  UKUS  
abuse  5  4.44  noun  5555  3597  UKUS  
abused  6  3.89  verb  1571  747  UKUS  
abuser  6  2.73  noun  107  43  UKUS  
abusers  7  2.84  noun  137  89  UKUS  
abuses  6  3.33  noun  427  460  UKUS  
abusing  7  3.48  verb  606  197  UKUS  
abusive  7  3.38  adjective  478  283  UKUS  
abusively  9  1.47  adverb  5  11  UKUS  
abut  4  1.95  noun  17  43  UKUS  
abutment  8  1.47  noun  5  23  UKUS  
abutments  9  1.39  noun  4  14  UKUS  
abuts  5  1.39  verb  4  9  UKUS  
abutting  8  1.39  verb  4  27  UKUS  
abuzz  5  2.08  adjective  23  8  UKUS  
abysmal  7  2.8  adjective  126  86  UKUS  
abysmally  9  2.29  adverb  38  21  UKUS  
abyss  5  3.05  noun  223  150  UKUS  
abyssal  7  1.3  adjective  3  30  UKUS  
