subject,sex,age,bigram_freq,concreteness,correct,diversity,word_freq,initial,letters,response_time,item,trans_prob
25,1,18,,,1,,,hell,6,475,shraun,0
18,1,19,,,1,,,hoard,6,475,thriff,0
14,1,19,10,4.4,1,468,50.78,large,5,475,adult,0.000444168
15,1,19,,,1,,,leader,5,475,crauk,0
29,0,20,0,2.04,1,112,195.48,meet,4,475,gone,0
1,1,27,,,1,,,nursing,4,475,kewn,0
14,1,19,0,1.68,1,0,198.34,oaken,5,475,whose,0
1,1,27,,,1,,,putter,3,475,zez,0
14,1,19,10,2.74,1,129,153.75,quickly,5,475,added,0.004279716
2,1,23,10,2.67,1,1,107.25,rustic,5,475,style,0.041152263
1,1,27,,,1,,,team,6,475,spause,0
15,1,19,10,3.07,1,569,252.03,time,6,475,across,0.000419406
31,0,25,2745,3.22,1,115,204.27,wide,5,475,range,0.027777778
31,0,25,,,1,,,address,6,476,trisps,0
12,1,20,234,4.25,1,17,49.68,bile,4,476,acid,0.013524937
5,1,20,,,1,,,circuit,6,476,frongs,0
1,1,27,,,1,,,fleet,5,476,monce,0
30,0,19,,,1,,,fleet,5,476,monce,0
29,0,20,,,1,,,forever,7,476,dwoiled,0
20,1,19,11,2.57,1,248,50.4,give,7,476,advance,0.003258195
1,1,27,,,1,,,giver,6,476,freins,0
20,1,19,,,1,,,graft,5,476,phlug,0
14,1,19,12,4,1,1,194.84,hoax,4,476,call,0.075471698
1,1,27,,,1,,,leap,3,476,zil,0
17,0,21,0,4.69,1,16,0.51,reaches,6,476,timers,0
14,1,19,,,1,,,roomful,7,476,croothe,0
25,1,18,,,1,,,sweet,6,476,shryme,0
6,1,19,,,1,,,address,6,477,trisps,0
30,0,19,,,1,,,base,6,477,slemps,0
14,1,19,,,1,,,call,5,477,threb,0
2,1,23,13,3.89,1,1,59.83,coiled,6,477,spring,0.067010309
11,1,20,,,1,,,display,6,477,snerps,0.010244287
20,1,19,381,3.87,1,78,407.39,fifty,4,477,five,0.001747844
7,1,19,,,1,,,full,4,477,vudd,0
18,1,19,,,1,,,giver,6,477,freins,0
22,1,19,466,3.37,1,52,98.77,index,6,477,closed,0.003869304
11,1,20,10,3.08,1,149,158.91,interest,7,477,account,0.000507044
5,1,20,,,1,,,isle,4,477,famp,0
24,1,19,8465,4.52,1,473,365.29,last,5,477,night,0.04587156
19,1,19,,,1,,,lecture,7,477,dwautch,0
14,1,19,,,1,,,magic,5,477,glorb,0
23,1,19,452,3.52,1,8,25.43,ozone,5,477,layer,0.018677043
11,1,20,,,1,,,pension,5,477,zekes,0
2,1,23,11,2.39,1,1,92.1,puck,4,477,fair,0.183333333
11,1,20,10,2.74,1,129,153.75,quickly,5,477,added,0.004279716
23,1,19,10,2.74,1,129,153.75,quickly,5,477,added,0.004279716
31,0,25,,,1,,,team,6,477,spause,0
2,1,23,,,1,,,tenet,7,477,sprerfs,0
9,1,41,,,1,,,clink,5,478,chims,0
27,1,22,508,4.9,1,109,57.39,credit,4,478,card,0.001898305
22,1,19,187,4.7,1,21,114.41,eighth,4,478,army,0.016431925
11,1,20,10,2.31,1,11,57.8,enforced,7,478,absence,0.010090817
17,0,21,,,1,,,hoard,6,478,thriff,0
28,0,19,10,4.4,1,468,50.78,large,5,478,adult,0.000444168
29,0,20,,,1,,,magic,5,478,glorb,0
19,1,19,,,1,,,sinner,7,478,spriege,0
17,0,21,0,3.61,1,154,186.52,systems,5,478,short,0
6,1,19,0,4.75,1,0,196.14,vexes,6,478,street,0
1,1,27,,,1,,,bloke,4,479,vaut,0
25,1,18,573,3.72,1,134,52.44,cash,4,479,flow,0.002678156
6,1,19,,,1,,,date,4,479,yerv,0
1,1,27,,,1,,,dimmer,6,479,spalms,0
16,1,23,187,4.7,1,21,114.41,eighth,4,479,army,0.016431925
6,1,19,11,2.57,1,248,50.4,give,7,479,advance,0.003258195
17,0,21,,,1,,,putter,3,479,zez,0
27,1,22,,,1,,,sample,6,479,whucts,0
5,1,20,10,3.89,1,69,70.36,secret,7,479,address,0.005030356
13,1,19,0,3.08,1,0,199.81,stippled ,5,479,trade,0
10,1,20,2083,4.89,1,3442,466.08,their,8,479,children,0.0000422
16,1,23,0,3.3,1,0,493.85,abase,6,480,number,0
12,1,20,,,1,,,diesel,5,480,plaub,0
26,1,19,10,2.31,1,11,57.8,enforced,7,480,absence,0.010090817
22,1,19,,,1,,,giver,6,480,freins,0
18,1,19,,,1,,,landing,5,480,phrav,0
8,1,19,4530,1.73,1,376,245.95,make,4,480,sure,0
3,0,20,10,2.35,1,1,187.78,markup,8,480,language,0.454545455
19,1,19,,,1,,,opening,7,480,phaunts,0
24,1,19,5568,4.72,1,1749,353.52,other,4,480,hand,0.00088645
22,1,19,,,1,,,polka,7,480,sneaths,0
13,1,19,,,1,,,rant,5,480,suill,0
1,1,27,0,4.91,1,0,9.91,recede,5,480,socks,0
20,1,19,10,2.73,1,139,104.37,want,6,480,advice,0.005908214
18,1,19,,,1,,,data,3,481,bic,0
9,1,41,,,1,,,date,4,481,yerv,0
15,1,19,381,3.87,1,78,407.39,fifty,4,481,five,0.001747844
9,1,41,4525,2,1,1900,354.73,have,4,481,done,0.0000211
24,1,19,12,4,1,1,194.84,hoax,4,481,call,0.075471698
3,0,20,466,3.37,1,52,98.77,index,6,481,closed,0.003869304
24,1,19,,,1,,,jumbo,4,481,trut,0
27,1,22,10,3.32,1,975,72.9,many,6,481,active,0.000245371
5,1,20,0,2.5,1,9,190.6,oval,7,481,hipster,0
7,1,19,452,3.52,1,8,25.43,ozone,5,481,layer,0.018677043
2,1,23,13,4.8,1,1,115.56,pelvic,5,481,floor,0.068421053
8,1,19,,,1,,,rasp,5,481,phres,0
23,1,19,,,1,,,time,6,481,flurnt,0
29,0,20,0,1.93,1,27,146.92,winds,6,481,agreed,0
19,1,19,437,4.97,1,70,65.17,acid,4,482,rain,0.006038647
4,1,20,512,4.3,1,74,93.39,daily,4,482,post,0.003276969
31,0,25,0,3.03,1,0,4.94,gimlet,6,482,coding,0
6,1,19,,,1,,,glass,7,482,thalped,0
18,1,19,,,1,,,glass,7,482,thalped,0
20,1,19,,,1,,,jazz,7,482,wroffed,0
21,1,19,,,1,,,mess,6,482,wheuce,0
19,1,19,,,1,,,quip,7,482,phrinks,0
12,1,20,243,2.89,1,53,129.82,rapid,6,482,growth,0.006102635
15,1,19,,,1,,,sinner,7,482,spriege,0
21,1,19,,,1,,,stimulus,7,482,pheethe,0
1,1,27,0,3.08,1,0,199.81,stippled ,5,482,trade,0
21,1,19,,,1,,,toggle,7,482,scunged,0
30,0,19,,,1,,,toggle,7,482,scunged,0
9,1,41,,,1,,,weather,7,482,scrunks,0
4,1,20,0,3.2,1,343,191.09,year,7,482,hundred,0
6,1,19,,,1,,,balls,5,483,brirr,0
26,1,19,234,4.25,1,17,49.68,bile,4,483,acid,0.013524937
18,1,19,,,1,,,bombard,6,483,slouth,0
15,1,19,,,1,,,boss,7,483,grirmed,0
4,1,20,10,3.33,1,237,257.48,case,5,483,above,0.000693097
9,1,41,14,3.93,1,1,137.01,chow,4,483,test,0.208955224
31,0,25,,,1,,,dealer,6,483,twapes,0
29,0,20,0,3.82,1,0,196.94,fart,6,483,course,0
6,1,19,,,1,,,invite,5,483,fifed,0
22,1,19,,,1,,,jazz,7,483,wroffed,0
15,1,19,0,1.68,1,0,198.34,oaken,5,483,whose,0
19,1,19,,,1,,,parish,6,483,twalts,0
6,1,19,,,1,,,shading,6,483,smurds,0
6,1,19,551,4.07,1,74,124.94,shot,4,483,dead,0.003171892
9,1,41,,,1,,,address,6,484,trisps,0
12,1,20,14,4.8,1,2,189.92,canned,4,484,food,0.046511628
6,1,19,,,1,,,frill,8,484,strisped,0
30,0,19,198,3.17,1,62,352.11,funny,5,484,thing,0.010467706
26,1,19,,,1,,,here,3,484,uns,0
